name;B;t;r1;r2;A;Jy;Wy;iy;Ju;iu;Jv;Wv;iv;Jyz;y0;m;parea;Perimeter
25*3;25;3;3.5;1.2;1.43;0.81;0.46;0.75;1.29;0.95;0.34;0.33;0.49;0.47;0.73;1.12;0.0975;97.5
25*4;25;4;3.5;1.2;1.86;1.03;0.59;0.74;1.62;0.93;0.44;0.41;0.48;0.59;0.76;1.46;0.0975;97.5
30*3;30;3;4;1.3;1.74;1.45;0.67;0.91;2.3;1.15;0.6;0.53;0.59;0.85;0.85;1.36;0.1172;117.2
30*4;30;4;4;1.3;2.27;1.84;0.87;0.8;2.92;1.13;0.77;0.61;0.58;1.08;0.89;1.78;0.1172;117.2
32*3;32;3;4.5;1.5;1.86;1.77;0.77;0.97;2.8;1.23;0.74;0.59;0.63;1.03;0.89;1.46;0.1248;124.8
32*4;32;4;4.5;1.5;2.43;2.26;1;0.96;3.58;1.21;0.94;0.71;0.62;1.32;0.94;1.91;0.1248;124.8
35*3;35;3;4.5;1.5;2.04;2.35;0.93;1.07;3.72;1.35;0.97;0.71;0.69;1.37;0.97;1.6;0.1368;136.8
35*4;35;4;4.5;1.5;2.67;3.01;1.21;1.06;4.76;1.33;1.25;0.88;0.68;1.75;1.01;2.1;0.1368;136.8
40*3;40;3;5;1.7;2.35;3.55;1.22;1.23;5.63;1.55;1.47;0.95;0.79;2.08;1.09;1.85;0.1564;156.4
40*4;40;4;5;1.7;3.08;4.58;1.6;1.22;7.26;1.53;1.9;1.19;0.78;2.68;1.13;2.42;0.1564;156.4
40*5;40;5;5;1.7;3.79;5.53;1.95;1.21;8.75;1.52;2.3;1.39;0.78;3.22;1.17;2.98;0.1564;156.4
45*4;45;4;5;1.7;3.48;6.63;2.04;1.38;10.5;1.74;2.74;1.54;0.89;3.89;1.26;2.73;0.1764;176.4
50*3;50;3;5.5;1.8;2.96;7.11;1.94;1.55;11.3;1.95;2.95;1.57;1;4.16;1.33;2.32;0.1961;196.1
50*4;50;4;5.5;1.8;3.89;9.21;2.54;1.54;14.6;1.94;3.8;1.95;0.99;5.42;1.38;3.05;0.1961;196.1
50*5;50;5;5.5;1.8;4.8;11.2;3.13;1.53;17.8;1.92;4.63;2.3;0.98;6.57;1.42;3.77;0.1961;196.1
63*5;63;5;7;2.3;6.13;23.1;5.05;1.94;36.8;2.44;9.52;3.87;1.25;13.7;1.74;4.81;0.2470;247.0
63*6;63;6;7;2.3;7.28;27.1;5.98;1.93;42.9;2.43;11.2;4.44;1.24;15.9;1.78;5.72;0.2470;247.0
75*5;75;5;9;3;7.39;39.5;7.21;2.31;62.7;2.91;16.4;5.74;1.49;23.1;2.02;5.8;0.2936;293.6
75*6;75;6;9;3;8.78;46.6;8.57;2.3;73.9;2.9;19.3;6.62;1.48;27.3;2.06;6.89;0.2936;293.6
75*8;75;8;9;3;11.5;59.8;11.2;2.28;94.9;2.87;24.8;8.16;1.47;35;2.15;9.02;0.2936;293.6
80*6;80;6;9;3;9.38;57;9.8;2.47;90.4;3.11;23.5;7.6;1.58;33.4;2.19;7.36;0.3136;313.6
80*7;80;7;9;3;10.85;65.3;11.3;2.45;104;3.09;27;8.55;1.58;38.3;2.23;8.51;0.3136;313.6
80*8;80;8;9;3;12.3;73.4;12.8;2.44;116;3.08;30.3;9.44;1.57;43;2.27;9.65;0.3136;313.6
90*6;90;6;10;3.3;10.61;82.1;12.5;2.78;130;3.5;34;9.88;1.79;48.1;2.43;8.33;0.3529;352.9
90*7;90;7;10;3.3;12.28;94.3;14.5;2.77;150;3.49;38.9;11.2;1.78;55.4;2.47;9.64;0.3529;352.9
90*8;90;8;10;3.3;13.93;106;16.4;2.76;168;3.48;43.8;12.3;1.77;62.3;2.51;10.93;0.3529;352.9
100*6.5;100;6.5;12;4;12.82;122;16.7;3.09;193;3.89;50.7;13.4;1.99;71.4;2.68;10.06;0.3914;391.4
100*7;100;7;12;4;13.75;131;17.9;3.08;207;3.88;54.2;14.1;1.98;76.4;2.71;10.79;0.3914;391.4
100*8;100;8;12;4;15.6;147;20.3;3.07;233;3.87;60.9;15.7;1.98;86.3;2.75;12.25;0.3914;391.4
100*10;100;10;12;4;19.24;179;25;3.05;284;3.84;74.1;18.5;1.96;110;2.83;15.1;0.3914;391.4
125*8;125;8;14;4.6;19.69;294;32.2;3.87;467;4.87;122;25.7;2.49;172;3.36;15.46;0.4900;490.0
125*9;125;9;14;4.6;22;327;36;3.86;520;4.86;136;28.3;2.48;192;3.4;17.3;0.4900;490.0
125*10;125;10;14;4.6;24.33;360;39.7;3.85;571;4.84;149;30.5;2.47;211;3.45;19.1;0.4900;490.0
140*9;140;9;14;4.6;24.72;466;45.6;4.34;739;5.47;192;35.9;2.79;274;3.78;19.41;0.5500;550.0
140*10;140;10;14;4.6;27.33;512;50.3;4.33;814;5.46;211;39.1;2.78;301;3.82;21.45;0.5500;550.0
160*10;160;10;16;5.3;31.43;774;66.2;4.96;1229;6.25;319;52.5;3.19;455;4.3;24.67;0.6286;628.6
160*12;160;12;16;5.3;37.39;913;78.6;4.94;1450;6.23;376;60.5;3.17;537;4.39;28.35;0.6286;628.6
200*12;200;12;18;6;47.1;1823;125;6.22;2896;7.84;749;98.7;3.99;1073;5.37;36.97;0.7871;787.1
