name;h;b;s;t;r1;r2;A;m;Jy;Wy;iy;Sy;Jz;Wz;iz;y0;parea;Perimeter
6.5У;65;36;4.4;7.2;6;2.5;7.51;5.9;48.6;15;2.54;9;8.7;3.68;1.08;12.4;0.254;254
8У;80;40;4.5;7.4;6.5;2.5;8.98;7.05;89.4;22.4;3.16;13.3;12.8;4.75;1.19;13.1;0.299;298.8
10У;100;46;4.5;7.6;7;3;10.9;8.59;174;34.8;3.99;20.4;20.4;6.46;1.37;14.4;0.361;361.1
14У;140;58;4.9;8.1;8;3;15.6;12.3;491;70.2;5.6;40.8;45.4;11;1.7;16.7;0.486;485.6
16У;160;64;5;8.4;8.5;3.5;18.1;14.2;747;93.4;6.42;54.1;63.3;13.8;1.87;18;0.548;547.7
18У;180;70;5.1;8.7;9;3.5;20.7;16.3;1090;121;7.24;69.8;86;17;2.04;19.4;0.610;610.2
20У;200;76;5.2;9;9.5;4;23.4;18.4;1520;152;8.07;87.8;113;20.5;2.2;20.7;0.672;672.3
22У;220;82;5.4;9.5;10;4;26.7;21;2110;192;8.89;110;151;25.1;2.37;22.1;0.735;734.6
24У;240;90;5.6;10;10.5;4;30.6;24;2900;242;9.73;139;208;31.6;2.6;24.2;0.805;804.6
27У;270;95;6;10.5;11;4.5;35.2;27.7;4160;308;10.9;178;262;37.3;2.73;24.7;0.882;882.3
30У;300;100;6.5;11;12;5;40.5;31.8;5810;387;12;224;327;43.6;2.84;25.2;0.960;959.5
